#nucleus-nld-mass-strength-omp 127Bi-1-1-1-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.40000E+01 2.97521E-09 1.31326E-06 5.12958E-05 2.26419E-02
1.45000E+01 2.55278E-09 1.51448E-06 4.88987E-05 2.90100E-02
1.50000E+01 2.20914E-09 1.63372E-06 4.68466E-05 3.46443E-02
1.55000E+01 1.92651E-09 1.62169E-06 4.50760E-05 3.79439E-02
1.60000E+01 1.69169E-09 1.48397E-06 4.35373E-05 3.81913E-02
1.65000E+01 1.49482E-09 1.27569E-06 4.21911E-05 3.60062E-02
1.70000E+01 1.32838E-09 1.05602E-06 4.10060E-05 3.25987E-02
1.75000E+01 1.18658E-09 8.59542E-07 3.99568E-05 2.89442E-02
1.80000E+01 1.06494E-09 6.97474E-07 3.90230E-05 2.55579E-02
1.85000E+01 9.59910E-10 5.68664E-07 3.81879E-05 2.26230E-02
1.90000E+01 8.68697E-10 4.67655E-07 3.74377E-05 2.01542E-02
1.95000E+01 7.89048E-10 3.88515E-07 3.67610E-05 1.81005E-02
2.00000E+01 7.19145E-10 3.26158E-07 3.61482E-05 1.63945E-02
2.10000E+01 6.02929E-10 2.36798E-07 3.50836E-05 1.37789E-02
2.20000E+01 5.11084E-10 1.78052E-07 3.41933E-05 1.19123E-02
2.30000E+01 4.37428E-10 1.37864E-07 3.34403E-05 1.05393E-02
2.40000E+01 3.77591E-10 1.09378E-07 3.27971E-05 9.50044E-03
2.50000E+01 3.28424E-10 8.85591E-08 3.22429E-05 8.69427E-03
2.60000E+01 2.87610E-10 7.29390E-08 3.17617E-05 8.05489E-03
2.70000E+01 2.53419E-10 6.09531E-08 3.13408E-05 7.53819E-03
2.80000E+01 2.24540E-10 5.15759E-08 3.09705E-05 7.11378E-03
2.90000E+01 1.99965E-10 4.41153E-08 3.06427E-05 6.76026E-03
3.00000E+01 1.78908E-10 3.80918E-08 3.03510E-05 6.46213E-03
3.10000E+01 1.60754E-10 3.31655E-08 3.00903E-05 6.20799E-03
3.20000E+01 1.45013E-10 2.90901E-08 2.98562E-05 5.98929E-03
3.30000E+01 1.31290E-10 2.56843E-08 2.96452E-05 5.79948E-03
#nucleus-nld-mass-strength-omp 127Bi-1-1-3-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.00000E-03 0.00000E+00 5.06977E-14 0.00000E+00 3.18543E-22
2.00000E-03 9.44576E-13 1.01395E-13 4.74796E-20 5.09669E-21
